year_month,year,month,series_name,category,region,value,index_2015,pct_change_2015
2023-09-01,2023,9,Meats,whole_food,National,355.174,129.5972079098275,29.597207909827507
2023-10-01,2023,10,Meats,whole_food,National,355.634,129.7650544178448,29.765054417844773
2023-11-01,2023,11,Meats,whole_food,National,356.661,130.13978999117896,30.139789991178944
2023-12-01,2023,12,Meats,whole_food,National,355.873,129.85226162527113,29.85226162527112
2024-01-01,2024,1,Meats,whole_food,National,355.454,129.6993753494902,29.699375349490193
2024-02-01,2024,2,Meats,whole_food,National,357.308,130.37586975354233,30.37586975354234
2024-03-01,2024,3,Meats,whole_food,National,354.08,129.1980251277169,29.198025127716903
2024-04-01,2024,4,Meats,whole_food,National,356.066,129.92268418189573,29.922684181895743
2024-05-01,2024,5,Meats,whole_food,National,356.542,130.0963688293223,30.096368829322294
2024-06-01,2024,6,Meats,whole_food,National,356.175,129.9624565066216,29.96245650662159
2024-07-01,2024,7,Meats,whole_food,National,355.024,129.54247535286535,29.54247535286536
2024-08-01,2024,8,Meats,whole_food,National,354.916,129.5030679118526,29.503067911852614
2024-09-01,2024,9,Meats,whole_food,National,355.734,129.80154278915285,29.801542789152858
2024-10-01,2024,10,Meats,whole_food,National,358.983,130.987049972953,30.987049972953002
2024-11-01,2024,11,Meats,whole_food,National,354.815,129.46621465683143,29.466214656831436
2024-12-01,2024,12,Meats,whole_food,National,358.485,130.8053378838387,30.805337883838675
2015-01-01,2015,1,Other_Processed,processed_food,National,207.886,99.31085219688504,-0.689147803114965
2015-02-01,2015,2,Other_Processed,processed_food,National,208.852,99.77232763641531,-0.22767236358468526
2015-03-01,2015,3,Other_Processed,processed_food,National,208.471,99.59031713697325,-0.4096828630267508
2015-04-01,2015,4,Other_Processed,processed_food,National,208.063,99.39540825568095,-0.6045917443190486
2015-05-01,2015,5,Other_Processed,processed_food,National,208.84,99.76659502225966,-0.23340497774034108
2015-06-01,2015,6,Other_Processed,processed_food,National,209.389,100.02886211988091,0.028862119880905843
2015-07-01,2015,7,Other_Processed,processed_food,National,209.344,100.00736481679719,0.007364816797189735
2015-08-01,2015,8,Other_Processed,processed_food,National,209.781,100.21612751563231,0.21612751563232022
2015-09-01,2015,9,Other_Processed,processed_food,National,210.586,100.60069038190755,0.6006903819075534
2015-10-01,2015,10,Other_Processed,processed_food,National,210.974,100.78604490627374,0.78604490627374
2015-11-01,2015,11,Other_Processed,processed_food,National,210.089,100.36326461229415,0.36326461229414386
2015-12-01,2015,12,Other_Processed,processed_food,National,209.668,100.1621453989999,0.16214539899989686
2016-01-01,2016,1,Other_Processed,processed_food,National,209.557,100.10911871806007,0.10911871806007373
2016-02-01,2016,2,Other_Processed,processed_food,National,209.32,99.99589958848588,-0.004100411514121904
2016-03-01,2016,3,Other_Processed,processed_food,National,209.736,100.1946302125486,0.1946302125486041
2016-04-01,2016,4,Other_Processed,processed_food,National,210.227,100.42918967508419,0.4291896750841857
2016-05-01,2016,5,Other_Processed,processed_food,National,209.814,100.23189220456037,0.23189220456036694
2016-06-01,2016,6,Other_Processed,processed_food,National,209.96,100.30163901012085,0.3016390101208506
2016-07-01,2016,7,Other_Processed,processed_food,National,209.661,100.15880137407575,0.15880137407576203
2016-08-01,2016,8,Other_Processed,processed_food,National,209.731,100.19224162331707,0.1922416233170831
2016-09-01,2016,9,Other_Processed,processed_food,National,209.339,100.00497622756568,0.00497622756566874
2016-10-01,2016,10,Other_Processed,processed_food,National,209.374,100.02169635218634,0.02169635218632928
2016-11-01,2016,11,Other_Processed,processed_food,National,208.408,99.56022091265605,-0.4397790873439506
2016-12-01,2016,12,Other_Processed,processed_food,National,209.109,99.8951011229156,-0.10489887708439206
2017-01-01,2017,1,Other_Processed,processed_food,National,209.691,100.1731329094649,0.1731329094649016
2017-02-01,2017,2,Other_Processed,processed_food,National,208.942,99.81532224258274,-0.1846777574172666
2017-03-01,2017,3,Other_Processed,processed_food,National,209.984,100.31310423843216,0.31310423843216223
2017-04-01,2017,4,Other_Processed,processed_food,National,209.898,100.27202050364996,0.27202050364995767
2017-05-01,2017,5,Other_Processed,processed_food,National,210.219,100.42536793231373,0.42536793231374403
