year_month,category,region,n_series,avg_index,avg_pct_change
2021-05-01,whole_food,National,3,105.61720292247391,5.617202922473906
2021-06-01,processed_food,National,4,107.41952940513134,7.419529405131349
2021-06-01,whole_food,National,3,106.73090082495257,6.730900824952573
2021-07-01,processed_food,National,4,107.71947958997794,7.719479589977928
2021-07-01,whole_food,National,3,107.15538017029748,7.155380170297481
2021-08-01,processed_food,National,4,108.14008679270262,8.140086792702618
2021-08-01,whole_food,National,3,107.57839910678901,7.578399106789006
2021-09-01,processed_food,National,4,108.44419639001404,8.44419639001404
2021-09-01,whole_food,National,3,108.69052529073033,8.690525290730333
2021-10-01,processed_food,National,4,108.79401813296636,8.794018132966357
2021-10-01,whole_food,National,3,109.87215944950754,9.872159449507539
2021-11-01,processed_food,National,4,110.01296744746564,10.012967447465636
2021-11-01,whole_food,National,3,110.75939531114642,10.759395311146417
2021-12-01,processed_food,National,4,111.11443245202977,11.114432452029774
2021-12-01,whole_food,National,3,111.39399887785034,11.393998877850333
2022-01-01,processed_food,National,4,112.05901228623176,12.059012286231756
2022-01-01,whole_food,National,3,112.31603910665257,12.316039106652568
2022-02-01,processed_food,National,4,113.29410519317366,13.294105193173651
2022-02-01,whole_food,National,3,113.8852618659657,13.885261865965711
2022-03-01,processed_food,National,4,114.56171974189229,14.561719741892286
2022-03-01,whole_food,National,3,115.37884292420621,15.378842924206214
2022-04-01,processed_food,National,4,114.70798673336799,14.707986733367987
2022-04-01,whole_food,National,3,116.36034621494647,16.36034621494648
2022-05-01,processed_food,National,4,115.32501382041121,15.325013820411217
2022-05-01,whole_food,National,3,117.60963303666709,17.609633036667088
2022-06-01,processed_food,National,4,116.40799196123012,16.407991961230127
2022-06-01,whole_food,National,3,118.71497410633808,18.714974106338076
2022-07-01,processed_food,National,4,118.3593566163983,18.3593566163983
2022-07-01,whole_food,National,3,119.71701646864888,19.71701646864889
2022-08-01,processed_food,National,4,119.86267037222682,19.862670372226823
2022-08-01,whole_food,National,3,120.6589317108673,20.65893171086729
2022-09-01,processed_food,National,4,120.92782251556157,20.927822515561576
2022-09-01,whole_food,National,3,121.45520886337653,21.45520886337652
2022-10-01,processed_food,National,4,121.91358833272221,21.913588332722224
2022-10-01,whole_food,National,3,121.9857912752457,21.985791275245692
2022-11-01,processed_food,National,4,122.26480090656686,22.26480090656687
2022-11-01,whole_food,National,3,122.71601226433901,22.716012264339014
2022-12-01,processed_food,National,4,123.12434666793028,23.124346667930283
2022-12-01,whole_food,National,3,123.18274978267185,23.182749782671838
2023-01-01,processed_food,National,4,124.16370792702573,24.163707927025722
2023-01-01,whole_food,National,3,123.73703616349633,23.737036163496324
2023-02-01,processed_food,National,4,124.40201564549716,24.40201564549716
2023-02-01,whole_food,National,3,123.86523988075375,23.865239880753755
2023-03-01,processed_food,National,4,124.54344393459039,24.54344393459039
2023-03-01,whole_food,National,3,123.13917241947273,23.13917241947272
2023-04-01,processed_food,National,4,124.95208324497547,24.952083244975473
2023-04-01,whole_food,National,3,123.01661002632893,23.01661002632893
2023-05-01,processed_food,National,4,125.45274030305926,25.45274030305926
2023-05-01,whole_food,National,3,123.03200262233747,23.032002622337476
2023-06-01,processed_food,National,4,126.51547148365673,26.51547148365673
2023-06-01,whole_food,National,3,123.33597848945554,23.335978489455545
2023-07-01,processed_food,National,4,126.77225362723742,26.772253627237426
2023-07-01,whole_food,National,3,123.60110959877457,23.601109598774574
2023-08-01,processed_food,National,4,127.20419231250153,27.204192312501544
2023-08-01,whole_food,National,3,123.93937908816469,23.93937908816469
2023-09-01,processed_food,National,4,127.39552921573207,27.39552921573207
2023-09-01,whole_food,National,3,123.7716801435554,23.7716801435554
2023-10-01,processed_food,National,4,127.25097762169385,27.250977621693853
2023-10-01,whole_food,National,3,124.32173145279026,24.32173145279026
2023-11-01,processed_food,National,4,127.39106297672343,27.391062976723433
2023-11-01,whole_food,National,3,124.25653763963437,24.256537639634363
2023-12-01,processed_food,National,4,127.71575481981938,27.71575481981937
2023-12-01,whole_food,National,3,124.32894422765322,24.32894422765323
2024-01-01,processed_food,National,4,128.25395623278712,28.253956232787132
2024-01-01,whole_food,National,3,124.4139389678979,24.4139389678979
2024-02-01,processed_food,National,4,129.05766091112528,29.057660911125268
2024-02-01,whole_food,National,3,124.69611437446562,24.69611437446563
2024-03-01,processed_food,National,4,128.2741472730985,28.274147273098485
2024-03-01,whole_food,National,3,124.61557578355163,24.615575783551627
2024-04-01,processed_food,National,4,128.51313390481778,28.513133904817767
2024-04-01,whole_food,National,3,124.46345034711787,24.463450347117874
2024-05-01,processed_food,National,4,128.58820324604955,28.588203246049538
2024-05-01,whole_food,National,3,124.59442160784967,24.59442160784966
2024-06-01,processed_food,National,4,128.56343571919456,28.56343571919455
2024-06-01,whole_food,National,3,124.49087463186385,24.490874631863836
2024-07-01,processed_food,National,4,128.66151509376658,28.66151509376658
2024-07-01,whole_food,National,3,124.79956104116464,24.799561041164633
2024-08-01,processed_food,National,4,128.9108084762074,28.91080847620739
2024-08-01,whole_food,National,3,125.06795936104066,25.067959361040657
2024-09-01,processed_food,National,4,128.36858740373552,28.368587403735518
2024-09-01,whole_food,National,3,125.69132765552921,25.691327655529214
2024-10-01,processed_food,National,4,129.28521639255504,29.285216392555036
2024-10-01,whole_food,National,3,125.9109577503327,25.910957750332706
2024-11-01,processed_food,National,4,129.84297611497652,29.842976114976526
2024-11-01,whole_food,National,3,125.98750774532972,25.98750774532971
2024-12-01,processed_food,National,4,130.51396428571465,30.51396428571465
2024-12-01,whole_food,National,3,126.65192364720242,26.65192364720241
